timestamp,user_id,role,event_type,amount,country,lat,lon,channel,is_privileged,mfa_success,device_id,ip,ts,hour,dayofweek,off_hours,amount_roll_mean_7d,amount_roll_std_7d,login_cnt_24h,prev_lat,prev_lon,geo_km_from_prev,event_type_code,country_code,channel_code,role_code,anomaly_prob,risk_score,reasons,sev,summary
2025-10-20T16:00:24.995967+00:00,user_00222,user,mfa_challenge,100000.0,RU,36.4212,-122.6532,web,0,0,dev_4429,10.58.28.37,2025-10-20 16:00:24.995967+00:00,16,0,0,9126.7425,28748.24671854304,4,48.7108,-122.6677,1366.54167942362,2,3,2,1,0.8330052448870217,1.0,"['HIGH_RISK_COUNTRY', 'GEO_IMPOSSIBLE_TRAVEL', 'FAILED_MFA']",high,"User user_00222 triggered mfa_challenge in RU at 2025-10-20T16:00:24.995967+00:00; flags: HIGH_RISK_COUNTRY, GEO_IMPOSSIBLE_TRAVEL, FAILED_MFA. Risk=1.00 (sev=high)."
2025-10-21T10:19:24.995967+00:00,user_00130,admin,change_beneficiary,0.0,CA,43.3182,-78.9839,mobile,1,1,dev_183,10.12.175.13,2025-10-21 10:19:24.995967+00:00,10,1,0,0.0,0.0,8,1.927,104.0901,14974.670084312205,0,0,1,0,0.7488206633276691,1.0,"['GEO_IMPOSSIBLE_TRAVEL', 'PRIVILEGED_SENSITIVE_ACTION']",high,"User user_00130 triggered change_beneficiary in CA at 2025-10-21T10:19:24.995967+00:00; flags: GEO_IMPOSSIBLE_TRAVEL, PRIVILEGED_SENSITIVE_ACTION. Risk=1.00 (sev=high)."
2025-10-21T03:38:24.995967+00:00,user_00599,user,login,100000.0,RU,51.2396,0.4442,mobile,0,0,dev_4676,10.35.209.236,2025-10-21 03:38:24.995967+00:00,3,1,1,16666.666666666668,38924.94720807615,6,40.1233,-74.2852,5676.865936870555,1,3,1,1,0.897615391563116,1.0,"['HIGH_RISK_COUNTRY', 'GEO_IMPOSSIBLE_TRAVEL']",high,"User user_00599 triggered login in RU at 2025-10-21T03:38:24.995967+00:00 outside business hours; flags: HIGH_RISK_COUNTRY, GEO_IMPOSSIBLE_TRAVEL. Risk=1.00 (sev=high)."
2025-10-20T23:38:24.995967+00:00,user_00472,user,login,100000.0,RU,40.45,-74.4025,mobile,0,0,dev_3141,10.49.146.205,2025-10-20 23:38:24.995967+00:00,23,0,1,7142.857142857143,26726.124191242438,4,0.8854,103.027,15411.419696204453,1,3,1,1,0.8871069958049552,1.0,"['HIGH_RISK_COUNTRY', 'GEO_IMPOSSIBLE_TRAVEL']",high,"User user_00472 triggered login in RU at 2025-10-20T23:38:24.995967+00:00 outside business hours; flags: HIGH_RISK_COUNTRY, GEO_IMPOSSIBLE_TRAVEL. Risk=1.00 (sev=high)."
2025-10-21T11:02:24.995967+00:00,user_00215,admin,password_reset,0.0,IN,18.9784,72.9175,web,1,1,dev_2547,10.20.217.13,2025-10-21 11:02:24.995967+00:00,11,1,0,3311.402083333333,8326.108811687527,8,40.3322,-73.9617,12582.523801531206,3,2,2,0,0.6939522208697538,1.0,"['GEO_IMPOSSIBLE_TRAVEL', 'PRIVILEGED_SENSITIVE_ACTION']",high,"User user_00215 triggered password_reset in IN at 2025-10-21T11:02:24.995967+00:00; flags: GEO_IMPOSSIBLE_TRAVEL, PRIVILEGED_SENSITIVE_ACTION. Risk=1.00 (sev=high)."
2025-10-21T11:25:24.995967+00:00,user_00797,user,view,100000.0,RU,18.8787,73.5175,web,0,0,dev_491,10.210.38.206,2025-10-21 11:25:24.995967+00:00,11,1,0,4401.682580645162,18910.438804094592,12,49.2818,-122.929,12263.558954665716,4,3,2,1,0.827142810171451,1.0,"['HIGH_RISK_COUNTRY', 'GEO_IMPOSSIBLE_TRAVEL']",high,"User user_00797 triggered view in RU at 2025-10-21T11:25:24.995967+00:00; flags: HIGH_RISK_COUNTRY, GEO_IMPOSSIBLE_TRAVEL. Risk=1.00 (sev=high)."
2025-10-20T06:14:24.995967+00:00,user_00662,user,view,100000.0,RU,49.2945,-122.5034,web,0,0,dev_2552,10.211.152.185,2025-10-20 06:14:24.995967+00:00,6,0,1,20000.0,44721.359549995796,3,41.214,-74.1285,3822.3812745706223,4,3,2,1,0.9339893232600139,1.0,"['HIGH_RISK_COUNTRY', 'GEO_IMPOSSIBLE_TRAVEL']",high,"User user_00662 triggered view in RU at 2025-10-20T06:14:24.995967+00:00 outside business hours; flags: HIGH_RISK_COUNTRY, GEO_IMPOSSIBLE_TRAVEL. Risk=1.00 (sev=high)."
2025-10-21T13:14:24.995967+00:00,user_00367,user,login,100000.0,RU,0.8067,104.2365,web,0,0,dev_140,10.254.7.152,2025-10-21 13:14:24.995967+00:00,13,1,0,5555.555555555556,23570.226039551584,8,38.1057,-122.099,13600.57141583336,1,3,2,1,0.8150419665436626,1.0,"['HIGH_RISK_COUNTRY', 'GEO_IMPOSSIBLE_TRAVEL']",high,"User user_00367 triggered login in RU at 2025-10-21T13:14:24.995967+00:00; flags: HIGH_RISK_COUNTRY, GEO_IMPOSSIBLE_TRAVEL. Risk=1.00 (sev=high)."
2025-10-21T08:24:24.995967+00:00,user_00325,admin,password_reset,0.0,CA,43.7704,-79.482,web,1,1,dev_3008,10.130.244.203,2025-10-21 08:24:24.995967+00:00,8,1,0,1212.1722727272727,3923.5611019873163,8,51.5586,0.6587,5757.543700767816,3,0,2,0,0.6065188263664167,1.0,"['GEO_IMPOSSIBLE_TRAVEL', 'PRIVILEGED_SENSITIVE_ACTION']",high,"User user_00325 triggered password_reset in CA at 2025-10-21T08:24:24.995967+00:00; flags: GEO_IMPOSSIBLE_TRAVEL, PRIVILEGED_SENSITIVE_ACTION. Risk=1.00 (sev=high)."
2025-10-20T21:14:24.995967+00:00,user_00201,user,password_reset,100000.0,RU,43.9431,-78.8979,web,0,0,dev_2821,10.17.182.21,2025-10-20 21:14:24.995967+00:00,21,0,1,16816.550714285713,36475.76306214864,3,37.4504,-121.9292,3656.0767098965025,3,3,2,1,0.904139674397042,1.0,"['HIGH_RISK_COUNTRY', 'GEO_IMPOSSIBLE_TRAVEL']",high,"User user_00201 triggered password_reset in RU at 2025-10-20T21:14:24.995967+00:00 outside business hours; flags: HIGH_RISK_COUNTRY, GEO_IMPOSSIBLE_TRAVEL. Risk=1.00 (sev=high)."
2025-10-21T14:01:24.995967+00:00,user_00057,user,login,100000.0,RU,19.1784,73.3328,mobile,0,0,dev_4890,10.241.48.194,2025-10-21 14:01:24.995967+00:00,14,1,0,5000.0,22360.679774997898,12,51.6517,0.429,7176.329764909903,1,3,1,1,0.799442063957708,1.0,"['HIGH_RISK_COUNTRY', 'GEO_IMPOSSIBLE_TRAVEL']",high,"User user_00057 triggered login in RU at 2025-10-21T14:01:24.995967+00:00; flags: HIGH_RISK_COUNTRY, GEO_IMPOSSIBLE_TRAVEL. Risk=1.00 (sev=high)."
